MARKE,KOMERCINIS_PAV,ELEKTRINE_TP,APSKRITIS,PIRM_REG_METAI_LT
VOLKSWAGEN. VW,UP!,Y,Vilniaus,2021-10
VOLKSWAGEN. VW,ID.3 PRO 150 KW,Y,Vilniaus,2021-07
BMW i,I3 EDRIVE BEV 94AH I01 IB1,Y,Kauno,2021-12
VOLKSWAGEN. VW,ID.3 PRO 150 KW,Y,Vilniaus,2021-07
TESLA,MODEL X,Y,Šiaulių,2021-03
MERCEDES-BENZ,CLASSE EQC,Y,Vilniaus,2022-01
PEUGEOT,208,Y,Vilniaus,2021-05
SKODA,ENYAQ 60,Y,Klaipėdos,2021-05
CITROEN,C-ZERO,Y,Vilniaus,2021-09
VOLKSWAGEN. VW,ID.3 PURE 110 KW,Y,Vilniaus,2021-10
MAZDA,MAZDA MX-30,Y,Vilniaus,2021-10
SUNRA,HAWK,Y,Panevėžio,2021-04
BMW,I3,Y,Vilniaus,2021-04
YIDE,ELECTRICAL SCOOTER,Y,Alytaus,2021-10
HYUNDAI,IONIQ,Y,Vilniaus,2021-08
VOLKSWAGEN. VW,ID.4 GTX 220 KW,Y,Telšių,2022-01
TESLA MOTORS,MODEL S,Y,Šiaulių,2022-01
VOLKSWAGEN. VW,ID.3 PRO 107 KW,Y,Vilniaus,2021-12
LUQI,HL6.0S,Y,Vilniaus,2021-07
VOLKSWAGEN. VW,CRAFTER,Y,Vilniaus,2021-08
PORSCHE,TAYCAN,Y,Vilniaus,2021-04
XINRI,HAWK,Y,Kauno,2021-10
TESLA,MODEL 3,Y,Kauno,2021-10
CITROEN,C-ZERO(STOCK),Y,Kauno,2021-12
VOLKSWAGEN. VW,ID.3 PRO S 150 KW,Y,Kauno,2021-12
OPEL,COMBO-E CARGO,Y,Klaipėdos,2021-12
AUDI,Q4 35 E-TRON,Y,Vilniaus,2021-11
LUQI,HL6.0S,Y,Klaipėdos,2021-10
RENAULT,ZOE,Y,Vilniaus,2021-09
RENAULT,ZOE,Y,Vilniaus,2021-08
VOLKSWAGEN. VW,CRAFTER,Y,Vilniaus,2021-10
NISSAN,LEAF 30KWH,Y,Kauno,2021-08
PORSCHE,TAYCAN 4S,Y,Vilniaus,2021-11
NISSAN,LEAF 30KWH,Y,Kauno,2021-06
NISSAN,LEAF 30KWH,Y,Marijampolės,2021-06
VOLKSWAGEN. VW,UP!,Y,Vilniaus,2021-10
NISSAN,NISSAN LEAF 40KWH,Y,Vilniaus,2021-10
VOLKSWAGEN. VW,UP!,Y,Vilniaus,2021-12
RENAULT,ZOE,Y,Vilniaus,2021-05
VOLKSWAGEN. VW,CRAFTER,Y,Vilniaus,2021-12
NISSAN,NISSAN LEAF 40KWH,Y,Vilniaus,2021-11
PORSCHE,TAYCAN TURBO,Y,Vilniaus,2021-07
DOFERN,D1,Y,Kauno,2022-01
BMW i,i3,Y,Panevėžio,2021-08
RENAULT,ZOE,Y,Vilniaus,2021-08
HYUNDAI,IONIQ,Y,Vilniaus,2021-05
VOLKSWAGEN. VW,ID.4 PRO 150 KW,Y,Kauno,2021-07
VOLKSWAGEN. VW,UP!,Y,Vilniaus,2021-10
VOLKSWAGEN. VW,CRAFTER,Y,Klaipėdos,2021-10
NISSAN,NISSAN LEAF 40KWH,Y,Vilniaus,2021-12
VOLKSWAGEN. VW,GOLF,Y,Vilniaus,2021-11
VOLKSWAGEN. VW,UP!,Y,Vilniaus,2021-12
VOLKSWAGEN. VW,UP!,Y,Vilniaus,2021-12
VOLKSWAGEN. VW,UP!,Y,Vilniaus,2021-12
MERCEDES-BENZ,EQC 400 4MATIC,Y,Vilniaus,2021-09
TESLA,MODEL 3,Y,Kauno,2021-10
MERCEDES-BENZ,EQC 400 4MATIC,Y,Klaipėdos,2021-10
VOLKSWAGEN. VW,ID.3 PURE 110 KW,Y,Vilniaus,2021-12
TESLA,MODEL 3,Y,Vilniaus,2021-12
CITROEN,E-C4,Y,Vilniaus,2021-06
VOLKSWAGEN. VW,ID.3 PRO 150 KW,Y,Vilniaus,2021-06
HYUNDAI,KONA. KAUAI,Y,Klaipėdos,2021-09
PORSCHE,TAYCAN,Y,Vilniaus,2022-01
VOLKSWAGEN. VW,ID.3 PRO S 150 KW,Y,Kauno,2021-12
TESLA,MODEL 3,Y,Kauno,2022-10
HYUNDAI,IONIQ,Y,Vilniaus,2022-03
HYUNDAI,IONIQ5,Y,Vilniaus,2022-01
CUPRA,BORN 150 KW 58/62 KWH,Y,Kauno,2022-10
OPEL,MOKKA,Y,Kauno,2022-03
TESLA,MODEL 3,Y,Alytaus,2022-09
NISSAN,NISSAN LEAF 62KWH,Y,Panevėžio,2022-05
NISSAN,NISSAN LEAF 40KWH,Y,Vilniaus,2022-10
VOLKSWAGEN. VW,ID.4 PRO 150 KW,Y,Vilniaus,2022-06
HYUNDAI,KONA,Y,Kauno,2022-03
NISSAN,LEAF 30KWH,Y,Klaipėdos,2022-02
HYUNDAI,KONA. KAUAI,Y,Kauno,2022-11
JAGUAR,JAGUAR I-PACE,Y,Vilniaus,2022-02
FORD,MUSTANG MACH-E,Y,Vilniaus,2022-10
HYUNDAI,IONIQ5,Y,Vilniaus,2022-08
MERCEDES-BENZ,EQB 300 4MATIC,Y,Alytaus,2022-10
MINI,COOPER SE,Y,Vilniaus,2022-09
KIA,NIRO,Y,Vilniaus,2022-02
BMW,CE04,Y,Kauno,2022-04
NISSAN,NISSAN LEAF 62KWH,Y,Vilniaus,2022-02
TESLA,MODEL Y,Y,Kauno,2022-07
AUDI,Q4 40 E-TRON,Y,Vilniaus,2021-10
PEUGEOT,2008,Y,Utenos,2021-05
SKODA,ENYAQ 60,Y,Vilniaus,2022-10
SUNRA,MIKU MAX,Y,Telšių,2022-02
DFSK,SERES 3,Y,Vilniaus,2022-01
PEUGEOT,2008,Y,Vilniaus,2022-05
ECO ZONE,LIEYING,Y,Klaipėdos,2022-03
VOLKSWAGEN. VW,ID.3 PRO 107 KW,Y,Vilniaus,2022-06
NISSAN,NISSAN LEAF 40KWH,Y,Marijampolės,2022-07
NISSAN,NISSAN ARIYA,Y,Vilniaus,2022-11
