KIEKIS,PIRM_REG_METAI_LT,PIRM_REG_MEN_LT,PIRM_REG_DIENA_LT
461,2018,12,13
471,2018,12,14
420,2018,12,15
187,2018,12,17
685,2018,12,18
656,2018,12,19
704,2018,12,20
629,2018,12,21
470,2018,12,22
577,2018,12,27
563,2018,12,28
378,2018,12,29
127,2018,12,31
677,2019,1,2
569,2019,1,3
575,2019,1,4
397,2019,1,5
160,2019,1,7
627,2019,1,8
490,2019,1,9
429,2019,1,10
446,2019,1,11
337,2019,1,12
180,2019,1,14
600,2019,1,15
551,2019,1,16
457,2019,1,17
441,2019,1,18
394,2019,1,19
169,2019,1,21
602,2019,1,22
495,2019,1,23
467,2019,1,24
471,2019,1,25
350,2019,1,26
170,2019,1,28
631,2019,1,29
483,2019,1,30
460,2019,1,31
506,2019,2,1
375,2019,2,2
156,2019,2,4
607,2019,2,5
451,2019,2,6
523,2019,2,7
524,2019,2,8
391,2019,2,9
148,2019,2,11
663,2019,2,12
583,2019,2,13
563,2019,2,14
513,2019,2,15
154,2019,2,18
842,2019,2,19
672,2019,2,20
555,2019,2,21
624,2019,2,22
482,2019,2,23
186,2019,2,25
790,2019,2,26
639,2019,2,27
585,2019,2,28
680,2019,3,1
506,2019,3,2
213,2019,3,4
870,2019,3,5
603,2019,3,6
575,2019,3,7
602,2019,3,8
526,2019,3,9
580,2019,3,12
639,2019,3,13
612,2019,3,14
700,2019,3,15
573,2019,3,16
246,2019,3,18
844,2019,3,19
648,2019,3,20
630,2019,3,21
764,2019,3,22
563,2019,3,23
177,2019,3,25
767,2019,3,26
657,2019,3,27
685,2019,3,28
800,2019,3,29
553,2019,3,30
324,2019,4,1
1239,2019,4,2
863,2019,4,3
741,2019,4,4
848,2019,4,5
693,2019,4,6
234,2019,4,8
1004,2019,4,9
751,2019,4,10
674,2019,4,11
821,2019,4,12
634,2019,4,13
1,2019,4,14
172,2019,4,15
974,2019,4,16
837,2019,4,17
899,2019,4,18
888,2019,4,19
587,2019,4,20
655,2019,4,23
748,2019,4,24
769,2019,4,25
837,2019,4,26
581,2019,4,27
260,2019,4,29
865,2019,4,30
839,2019,5,2
811,2019,5,3
513,2019,5,4
229,2019,5,6
883,2019,5,7
753,2019,5,8
626,2019,5,9
698,2019,5,10
603,2019,5,11
212,2019,5,13
897,2019,5,14
753,2019,5,15
608,2019,5,16
739,2019,5,17
625,2019,5,18
238,2019,5,20
864,2019,5,21
726,2019,5,22
704,2019,5,23
722,2019,5,24
514,2019,5,25
262,2019,5,27
894,2019,5,28
703,2019,5,29
708,2019,5,30
694,2019,5,31
483,2019,6,1
198,2019,6,3
856,2019,6,4
717,2019,6,5
